dataset,field,users,total_weight,mean_weight,min_weight,median_weight,p90_weight,p99_weight,max_weight,gini,effective_users,users_for_50pct_traffic_pct,top_1pct_traffic_pct,top_5pct_traffic_pct,top_10pct_traffic_pct,top_20pct_traffic_pct,top_50pct_traffic_pct
beauty,interaction_count,22332,280730.0,12.57075049256672,5.0,9.0,22.0,60.0,389.0,0.3516606767115741,11001.174375882922,24.6104245029554,7.882306842873936,20.5122359562569,30.399316068820575,44.68777829230934,72.67481209703274
games,interaction_count,15264,204122.0,13.37277253668763,5.0,9.0,23.0,75.0,880.0,0.38500989945750574,4898.096013320594,22.038784067085953,10.095923026425373,23.849952479399576,33.77881854969087,47.693536218535975,74.26930953057486
books,interaction_count,509334,9939283.0,19.514273541526777,5.0,10.0,32.0,172.0,43201.0,0.5368341324982494,23089.98413109928,11.093702756933563,19.432689460597913,37.68419713977356,48.24933549029644,60.96902563293549,81.93286175672833
clothing,interaction_count,39230,539446.0,13.750853938312517,5.0,11.0,24.0,58.0,349.0,0.33529696782632795,23169.586273316127,26.02600050981392,6.171702079540863,18.046291936542307,27.998353866744775,42.78741523711363,72.16366420364596
industrial_100k,pv_share,100000,1.000000000000014,1.000000000000014e-05,1.2224299000191592e-07,3.6696181707863312e-06,2.3707772646076448e-05,9.25257344570258e-05,0.000828383412804169,0.6531415565871667,20018.792813284046,9.059,14.848476553461007,37.352189739648615,52.32053262989195,69.61062242318665,90.78552241300052
industrial_100k,pv_int,100000,2500000.0,25.0,1.0,9.0,59.0,231.0,2071.0,0.6530055056480001,20018.368342320682,9.059,14.849,37.35296,52.32004,69.60872,90.77296
industrial_100k,pv_scaled_1_100,100000,180443.0,1.80443,1.0,1.0,3.0,12.0,100.0,0.37946511125396937,37308.05952505085,19.114,10.102359193762018,25.97828677200002,37.21119688765982,50.98230466130579,72.29041858093692
industrial_10M,pv_share,10000000,0.9999999999998055,9.999999999998055e-08,8.89504472305798e-10,3.664148086007461e-08,2.3668978807301197e-07,9.294346825647414e-07,1.6613363127636435e-05,0.6529839036427966,2009487.6459026772,9.07201,14.892010395366185,37.350549800283865,52.2792028807949,69.60485905991298,90.76786459603746
industrial_10M,pv_int,10000000,250000000.0,25.0,1.0,9.0,59.0,232.0,4153.0,0.6528546876192832,2009539.0339617867,9.07255,14.891882800000001,37.3497032,52.2774884,69.6013124,90.7574196
industrial_10M,pv_scaled_1_100,10000000,13061548.0,1.3061548,1.0,1.0,2.0,6.0,100.0,0.21331058132115732,5769622.59905352,34.69226,7.1486702801229995,18.864716494553328,27.354736207377563,38.75151704836211,61.71969815522632
