layer,history_tokens,new_tokens,history_variant,item_variant,unique_history_tokens,unique_new_tokens,history_coverage_pct,new_coverage_pct,history_mib,all_mib,history_sha256,candidate_suffix_sha256,source_input_sha256
0,4096,64,0,0,3645,64,88.9892578125,100.0,2.2803497314453125,2.3203887939453125,fdafd908177e335b298532c7f37bc50e45386d4bf4a382281b3c727921bf7955,8b1b30b50df2a630eb9dcd4ac0120f0fbb4226b3146c04546cc681cd9fbab507,0332d25356152ed459da51fc395896268b160ab31833a8fdf8237c453e8ad863
1,4096,64,0,0,3378,64,82.470703125,100.0,2.113311767578125,2.153350830078125,fdafd908177e335b298532c7f37bc50e45386d4bf4a382281b3c727921bf7955,8b1b30b50df2a630eb9dcd4ac0120f0fbb4226b3146c04546cc681cd9fbab507,0332d25356152ed459da51fc395896268b160ab31833a8fdf8237c453e8ad863
2,4096,64,0,0,3369,64,82.2509765625,100.0,2.1076812744140625,2.1477203369140625,fdafd908177e335b298532c7f37bc50e45386d4bf4a382281b3c727921bf7955,8b1b30b50df2a630eb9dcd4ac0120f0fbb4226b3146c04546cc681cd9fbab507,0332d25356152ed459da51fc395896268b160ab31833a8fdf8237c453e8ad863
0,4096,64,0,1,3617,64,88.3056640625,100.0,2.2628326416015625,2.3028717041015625,fdafd908177e335b298532c7f37bc50e45386d4bf4a382281b3c727921bf7955,44803f2d88d2542bc888ce18977434d05841408bb257f61123e8beee8938b2b9,d1b766bc795efadb2ae306f0aaaf139db5b58838a50ddfffb2651e5272b67ab5
1,4096,64,0,1,3385,64,82.6416015625,100.0,2.1176910400390625,2.1577301025390625,fdafd908177e335b298532c7f37bc50e45386d4bf4a382281b3c727921bf7955,44803f2d88d2542bc888ce18977434d05841408bb257f61123e8beee8938b2b9,d1b766bc795efadb2ae306f0aaaf139db5b58838a50ddfffb2651e5272b67ab5
2,4096,64,0,1,3362,64,82.080078125,100.0,2.103302001953125,2.143341064453125,fdafd908177e335b298532c7f37bc50e45386d4bf4a382281b3c727921bf7955,44803f2d88d2542bc888ce18977434d05841408bb257f61123e8beee8938b2b9,d1b766bc795efadb2ae306f0aaaf139db5b58838a50ddfffb2651e5272b67ab5
0,4096,64,0,2,3617,64,88.3056640625,100.0,2.2628326416015625,2.3028717041015625,fdafd908177e335b298532c7f37bc50e45386d4bf4a382281b3c727921bf7955,e4e4cbe16c70b408c1c9d938d7114e63c198be88902cbf85e90741f7c841115c,d05569f925242b25e20a8f5ec80fadffd98da2800b1c4cd236c68c7453a1e7fe
1,4096,64,0,2,3377,64,82.4462890625,100.0,2.1126861572265625,2.1527252197265625,fdafd908177e335b298532c7f37bc50e45386d4bf4a382281b3c727921bf7955,e4e4cbe16c70b408c1c9d938d7114e63c198be88902cbf85e90741f7c841115c,d05569f925242b25e20a8f5ec80fadffd98da2800b1c4cd236c68c7453a1e7fe
2,4096,64,0,2,3364,64,82.12890625,100.0,2.10455322265625,2.14459228515625,fdafd908177e335b298532c7f37bc50e45386d4bf4a382281b3c727921bf7955,e4e4cbe16c70b408c1c9d938d7114e63c198be88902cbf85e90741f7c841115c,d05569f925242b25e20a8f5ec80fadffd98da2800b1c4cd236c68c7453a1e7fe
0,4096,128,0,0,3854,128,94.091796875,100.0,2.411102294921875,2.491180419921875,fdafd908177e335b298532c7f37bc50e45386d4bf4a382281b3c727921bf7955,b01c21d44004009bb29cda6c83288d0294605b1063e9205a095d7e58c476d5f3,773ed72e3202e4ecb2327938a968edb5901bcb9494e0fe53da4c70a708a94412
